nome_parlamentar,partido,id_alesp,email_oficial,telefone_gabinete,pagina_alesp
Fábio Faria de Sá,PODE,2041,fabiofariadesa@al.sp.gov.br,(11) 3886-6541/ 6542,https://www.al.sp.gov.br/deputado/?matricula=300697
Gil Diniz Bolsonaro,PL,1161,gildiniz@al.sp.gov.br,(11) 3886-6313/ 6321,https://www.al.sp.gov.br/deputado/?matricula=300627
Gilmaci Santos,REPUBLICANOS,382,gilmacisantos@al.sp.gov.br,(11) 3886-6560/ 7752,https://www.al.sp.gov.br/deputado/?matricula=300450
Guilherme Cortez,PSOL,1216,guilhermecortez@al.sp.gov.br,(11) 3886-6882/ 6883,https://www.al.sp.gov.br/deputado/?matricula=300672
Guto Zacarias,MISSÃO,1217,gutozacarias@al.sp.gov.br,(11) 3886-6578/ 6579,https://www.al.sp.gov.br/deputado/?matricula=300673
Itamar Borges,MDB,442,itamarborges@al.sp.gov.br,(11) 3886-6852/ 6857,https://www.al.sp.gov.br/deputado/?matricula=300510
Jorge Caruso,MDB,299,jcaruso@al.sp.gov.br,(11) 3886-6736/ 6765,https://www.al.sp.gov.br/deputado/?matricula=300367
Jorge Wilson Xerife do Consumidor,REPUBLICANOS,484,jorgewilsonxerifedoconsumidor@al.sp.gov.br,(11) 3886-6485/ 6487,https://www.al.sp.gov.br/deputado/?matricula=300549
Leci Brandão,PCdoB,445,lecibrandao@al.sp.gov.br,(11) 3886-6790/ 6794,https://www.al.sp.gov.br/deputado/?matricula=300513
Leonardo Siqueira,NOVO,1219,leosiqueira@al.sp.gov.br,(11) 3886-6615/ 6616,https://www.al.sp.gov.br/deputado/?matricula=300675
Letícia Aguiar,PL,1158,leticiaaguiar@al.sp.gov.br,(11) 3886-6227/ 6228,https://www.al.sp.gov.br/deputado/?matricula=300631
Lucas Bove,PL,1220,lucasbove@al.sp.gov.br,(11) 3886-6632/ 6634,https://www.al.sp.gov.br/deputado/?matricula=300676
Luiz Claudio Marcolino,PT,446,lcmarcolino@al.sp.gov.br,(11) 3886-6650/ 6652,https://www.al.sp.gov.br/deputado/?matricula=300514
Luiz Fernando T. Ferreira,PT,481,lfernando@al.sp.gov.br,(11) 3886-6666/ 6613,https://www.al.sp.gov.br/deputado/?matricula=300545
Léo Oliveira,MDB,200,leooliveira@al.sp.gov.br,(11) 3886-6386/ 6387,https://www.al.sp.gov.br/deputado/?matricula=300264
Major Mecca,PL,1157,majormecca@al.sp.gov.br,(11) 3886-6177/ 6178,https://www.al.sp.gov.br/deputado/?matricula=300633
Marcelo Aguiar,PL,2042,marceloaguiar@al.sp.gov.br,(11) 3886-6155/ 6156,https://www.al.sp.gov.br/deputado/?matricula=300698
Marcio Nakashima,PSD,1155,MarcioNakashima@al.sp.gov.br,(11) 3886-6633/ 6596,https://www.al.sp.gov.br/deputado/?matricula=300635
Marcos Damasio,PL,479,marcosdamasio@al.sp.gov.br,(11) 3886-6704 / 6705,https://www.al.sp.gov.br/deputado/?matricula=300552
Maria Lúcia Amary,PSD,347,mlamary@al.sp.gov.br,(11) 3886-6840/ 6855,https://www.al.sp.gov.br/deputado/?matricula=300415
Marina Helou,PSB,1154,marinahelou@al.sp.gov.br,(11)3886-6084 / 6078,https://www.al.sp.gov.br/deputado/?matricula=300636
Marta Costa,PSD,480,depmartacosta@al.sp.gov.br,(11)3886-6621 / 6624,https://www.al.sp.gov.br/deputado/?matricula=300533
Maurici,PT,1187,depmaurici@al.sp.gov.br,(11) 3886-6753,https://www.al.sp.gov.br/deputado/?matricula=300653
Mauro Bragato,PSD,75,Mbragato@al.sp.gov.br,(11)3886-6400 / 6417,https://www.al.sp.gov.br/deputado/?matricula=300098
Milton Leite Filho,UNIÃO,415,mleite@al.sp.gov.br,(11)3886-6550 / 6551,https://www.al.sp.gov.br/deputado/?matricula=300483
Monica Seixas do Movimento Pretas,PSOL,1153,movimentopretas@al.sp.gov.br,(11)3886-6639 / 6640,https://www.al.sp.gov.br/deputado/?matricula=300637
Márcia Lia,PT,477,marcialia@al.sp.gov.br,(11) 3886-6104/ 6614,https://www.al.sp.gov.br/deputado/?matricula=300534
Oseias de Madureira,PL,1221,oseiasdemadureira@al.sp.gov.br,(11) 3886-6423/ 6424,https://www.al.sp.gov.br/deputado/?matricula=300677
Paula da Bancada Feminista,PSOL,1222,pauladabancadafeminista@al.sp.gov.br,(11) 3886-6687/ 6688,https://www.al.sp.gov.br/deputado/?matricula=300678
Paulo Correa Jr,REPUBLICANOS,475,paulocorreajr@al.sp.gov.br,(11)3886-6372 / 6377,https://www.al.sp.gov.br/deputado/?matricula=300536
Paulo Fiorilo,PT,1152,paulofiorilo@al.sp.gov.br,(11)3886-6663/6667,https://www.al.sp.gov.br/deputado/?matricula=300638
Paulo Mansur,PL,1223,paulomansur@al.sp.gov.br,(11) 3886-6921/ 6922,https://www.al.sp.gov.br/deputado/?matricula=300679
Professora Bebel,PT,1150,professorabebel@al.sp.gov.br,(011)3886-6645 / 6648,https://www.al.sp.gov.br/deputado/?matricula=300640
Profª Camila Godoi,UNIÃO,2081,profacamilagodoi@al.sp.gov.br,(11) 3886-6830 / 6831,https://www.al.sp.gov.br/deputado/?matricula=300700
Rafa Zimbaldi,UNIÃO,1149,rafazimbaldi@al.sp.gov.br,(11)3886-6198 / 6201,https://www.al.sp.gov.br/deputado/?matricula=300641
Rafael Saraiva,UNIÃO,1224,rafaelsaraiva@al.sp.gov.br,(11) 3886-6740/ 6741,https://www.al.sp.gov.br/deputado/?matricula=300680
Rafael Silva,PSD,280,rsilva@al.sp.gov.br,(011)3886-6788 / 6792,https://www.al.sp.gov.br/deputado/?matricula=300344
Reis,PT,1225,deputadoreis@al.sp.gov.br,(11) 3886-6743/ 6744,https://www.al.sp.gov.br/deputado/?matricula=300681
Ricardo França,PODE,1226,ricardofranca@al.sp.gov.br,(11) 3886-6748,https://www.al.sp.gov.br/deputado/?matricula=300682
Ricardo Madalena,PL,474,ricardomadalena@al.sp.gov.br,(011)3886-6403 / 6404,https://www.al.sp.gov.br/deputado/?matricula=300539
Rodrigo Moraes,PL,451,deputadorodrigomoraes@al.sp.gov.br,(011)3886-6055 / 6056,https://www.al.sp.gov.br/deputado/?matricula=300519
Rogério Nogueira,PSD,339,rnogueira@al.sp.gov.br,(011) 3886-6842 / 6853,https://www.al.sp.gov.br/deputado/?matricula=300407
Rogério Santos,MDB,1227,rogeriosantos@al.sp.gov.br,(11) 3886-6499/ 6878,https://www.al.sp.gov.br/deputado/?matricula=300683
Rui Alves,REPUBLICANOS,1228,ruialves@al.sp.gov.br,(11) 3886-6772/ 6773,https://www.al.sp.gov.br/deputado/?matricula=300685
Rômulo Fernandes,PT,1229,romulofernandes@al.sp.gov.br,(11) 3886-6760/ 6761,https://www.al.sp.gov.br/deputado/?matricula=300684
Sebastião Santos,REPUBLICANOS,452,sebastiaosantos@al.sp.gov.br,(011) 3886-6474 / 6475,https://www.al.sp.gov.br/deputado/?matricula=300520
Solange Freitas,UNIÃO,1230,solangefreitas@al.sp.gov.br,(11) 3886-6834/ 6835,https://www.al.sp.gov.br/deputado/?matricula=300686
Tenente Coimbra,PL,1144,tenentecoimbra@al.sp.gov.br,(11)3886-6776 / 6777,https://www.al.sp.gov.br/deputado/?matricula=300646
Teonilio Barba,PT,472,teoniliobarba@al.sp.gov.br,(11) 3886-6495/6493/6233/6232/6617,https://www.al.sp.gov.br/deputado/?matricula=300584
Thainara Faria,PT,1231,thainarafaria@al.sp.gov.br,(11) 3886-6850/ 6851,https://www.al.sp.gov.br/deputado/?matricula=300687
Thiago Auricchio,PL,1142,ThiagoAuricchio@al.sp.gov.br,(011)3886-6214 / 6216,https://www.al.sp.gov.br/deputado/?matricula=300648
Tomé Abduch,REPUBLICANOS,1232,tomeabduch@al.sp.gov.br,(11) 3886-6867/ 6868,https://www.al.sp.gov.br/deputado/?matricula=300688
Valdomiro Lopes,PSB,328,vlopes@al.sp.gov.br,(11) 3886-6251/6252,https://www.al.sp.gov.br/deputado/?matricula=300396
Valeria Bolsonaro,PL,1141,ValeriaBolsonaro@al.sp.gov.br,(011)3886-6222 / 6223,https://www.al.sp.gov.br/deputado/?matricula=300649
Vitão do Cachorrão,PODE,1233,vitaodocachorrao@al.sp.gov.br,(11) 3886-6864/ 6865,https://www.al.sp.gov.br/deputado/?matricula=300689
